COGs,Human,Algae,Acuatic,Aves,Fish,Fungi,Mamalia,Nematoda,Plants,Reptilia,Soil,Wastewater,Others,RH,NRH,Animals
COG:COG3383,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
COG:COG3349,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
COG:COG3250,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
COG:COG2913,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
COG:COG0054,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
COG:COG3710,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
COG:COG2315,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
COG:COG1662,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
COG:COG4251,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
COG:COG4247,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1
COG:COG4716,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
COG:COG4192,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
COG:COG0602,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
COG:COG0191,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
COG:COG1166,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1
COG:COG3507,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
COG:COG2379,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
COG:COG2169,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
COG:COG4128,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
COG:COG1482,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
COG:COG3479,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
COG:COG3281,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
COG:COG3964,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
COG:COG4886,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
COG:COG1321,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1
COG:COG1780,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1
COG:COG2094,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1
COG:COG3590,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1
COG:COG3391,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1
COG:COG2746,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
COG:COG2425,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
COG:COG1455,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
COG:COG1725,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG3275,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG4243,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG4274,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG3208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COG:COG2038,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
COG:COG4689,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
COG:COG1882,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
COG:COG3418,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
COG:COG2971,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
